Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Andorra,0,77287,164,2020-10-23,4038.0,85772.0,6.4,,0.858,,,Europe,0.98,69.0,0.07,0.017087667161961365,3.0,3042000,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Armenia,1,2964219,104,2020-12-13,148325.0,,,1.8,0.755,4.2,94.043,Asia,0.71,2486.0,,0.016760492162481037,4.0,1652000,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Bahrain,2,1711057,2239,2020-11-21,85591.0,1954535.0,21.4,,0.846,2.0,,Asia,0.94,338.0,0.014,0.003949013330840859,1.0,12045000,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belgium,3,11598451,383,2020-12-02,582252.0,6013175.0,11.2,0.2,0.916,5.64,,Europe,0.8,16911.0,0.05,0.029044125224129757,3.0,9119000,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Croatia,4,4100719,73,2020-12-28,205246.0,996935.0,4.3,0.7,0.831,5.54,,Europe,0.6,3739.0,0.084,0.01821716379369147,3.0,16645000,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
France,5,65298930,119,2021-02-02,3283645.0,,15.2,,0.901,5.98,,Europe,,77383.0,0.065,0.023566189402325768,4.0,89322000,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
Georgia,6,3987805,57,2020-12-17,201368.0,,,4.2,0.78,2.6,,Asia,0.66,1953.0,,0.009698661157681459,3.0,4757000,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Israel,7,8678517,400,2021-01-02,434799.0,8562855.0,9.7,0.5,0.903,2.99,,Asia,1.04,3392.0,0.055,0.007801305890767918,3.0,4121000,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Liechtenstein,8,38147,238,2020-12-24,1920.0,,,,0.916,2.397,,Europe,0.6,30.0,,0.015625,4.0,85300,2020-03-05,47.166,9.555373,,,,,
Lithuania,9,2715340,43,2020-12-30,139487.0,1629505.0,3.7,0.7,0.858,6.56,,Europe,0.86,1740.0,0.084,0.012474280757346563,,2825000,2020-02-29,55.169438,23.881275,2020-03-16,Full,35461.3591,8.32,99.8
Luxembourg,10,627704,242,2020-11-24,31484.0,1337564.0,16.9,0.2,0.904,4.51,,Europe,0.78,283.0,0.016,0.00898869266929234,3.0,1018000,2020-03-01,49.815273,6.129583,2020-03-16,Full,113337.4205,8.56,
Montenegro,11,628080,47,2020-11-23,31618.0,,,1.0,0.814,3.861,,Europe,0.86,444.0,,0.014042633942690872,,2077000,2020-03-18,42.708678,19.37439,2020-03-24,Full,20689.98675,7.43,98.7
Netherlands,12,17141544,508,2021-01-07,862805.0,5592879.0,8.3,,0.931,3.32,,Europe,0.83,12182.0,0.103,0.014119065142181605,3.0,18780000,2020-02-28,52.132633,5.291266,2020-03-24,Full,56328.94114,8.5,
Panama,13,4326296,58,2020-12-22,217202.0,1186950.0,3.6,2.2,0.789,2.3,,North America,0.85,3632.0,0.113,0.01672176130974853,2.0,1785000,2020-03-11,8.537981,-80.782127,2020-03-25,Full,25553.69671,7.69,95
