Country,index,Population,Density,date,total_cases,extreme_poverty,human_development_index,hospital_beds_per_thousand,continent,reproduction_rate,total_deaths,stringency_index,median_age,aged_70_older,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Armenia,7,2964219,104,2021-02-15,169255.0,1.8,0.776,4.2,Asia,1.0,3147.0,,35.7,7.571,341.01,7.11,75.09,0.01859324687601548,4.0,1652000.0,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Bahrain,12,1711057,2239,2021-02-15,113590.0,,0.852,2.0,Asia,1.13,406.0,58.33,32.4,1.387,151.689,16.52,77.29,0.0035742582973853332,1.0,12045000.0,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belgium,16,11598451,383,2021-02-15,739488.0,0.2,0.931,5.64,Europe,1.0,21702.0,60.19,41.8,12.849,114.898,4.29,81.63,0.029347332208230558,3.0,9119000.0,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Croatia,38,4100719,73,2021-02-15,237725.0,0.7,0.851,5.54,Europe,0.81,5339.0,47.22,44.0,13.053,253.782,5.59,78.49,0.022458723314754445,3.0,16645000.0,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
France,54,65298930,119,2021-02-15,3528856.0,,0.901,5.98,Europe,1.02,82374.0,63.89,42.0,13.079,86.06,4.77,82.66,0.02334297574057995,4.0,89322000.0,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
Georgia,57,3987805,57,2021-02-15,265722.0,4.2,0.812,2.6,Asia,0.82,3363.0,80.56,38.7,10.244,496.218,7.11,73.77,0.012656084178201278,3.0,4757000.0,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Israel,75,8678517,400,2021-02-15,730293.0,0.5,0.919,2.99,Asia,0.82,5414.0,62.96,30.6,7.359,93.32,6.74,82.97,0.007413462815609625,3.0,4121000.0,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Lithuania,90,2715340,43,2021-02-15,190937.0,0.7,0.882,6.56,Europe,0.85,3080.0,66.67,43.5,13.778,342.989,3.67,75.93,0.016130975138396435,,2825000.0,2020-02-29,55.169438,23.881275,2020-03-16,Full,35461.3591,8.32,99.8
Luxembourg,91,627704,242,2021-02-15,52923.0,0.2,0.916,4.51,Europe,1.16,611.0,61.11,39.7,9.842,128.275,4.42,82.25,0.011545074920167035,3.0,1018000.0,2020-03-01,49.815273,6.129583,2020-03-16,Full,113337.4205,8.56,
Montenegro,104,628080,47,2021-02-15,69294.0,1.0,0.829,3.861,Europe,0.94,899.0,,39.1,9.395,387.305,10.08,76.88,0.012973706237192253,,2077000.0,2020-03-18,42.708678,19.37439,2020-03-24,Full,20689.98675,7.43,98.7
Netherlands,110,17141544,508,2021-02-15,1046381.0,,0.944,3.32,Europe,0.97,14963.0,78.7,43.2,11.881,109.361,5.29,82.28,0.014299762705935984,3.0,18780000.0,2020-02-28,52.132633,5.291266,2020-03-24,Full,56328.94114,8.5,
Panama,119,4326296,58,2021-02-15,332679.0,2.2,0.815,2.3,North America,0.78,5642.0,74.07,29.7,5.03,128.346,8.33,78.51,0.01695929108840654,2.0,1785000.0,2020-03-11,8.537981,-80.782127,2020-03-25,Full,25553.69671,7.69,95
Portugal,125,10191409,111,2021-02-15,787059.0,0.5,0.864,3.39,Europe,0.48,15411.0,75.0,46.2,14.924,127.842,9.85,82.05,0.019580488883298455,3.0,16186000.0,2020-03-03,39.399872,-8.224454,2020-03-18,Full,33415.4379,8.27,95.4
Slovenia,139,2078989,103,2021-02-15,179780.0,,0.917,4.5,Europe,0.88,3728.0,61.11,44.5,12.93,153.493,7.25,81.32,0.020736455668038715,3.0,4425000.0,2020-03-06,46.151241,14.995463,2020-03-11,Full,38048.78466,7.97,99.7
Spain,144,46757980,94,2021-02-15,3086286.0,1.0,0.904,2.97,Europe,0.83,65449.0,71.3,45.5,13.799,99.403,7.17,83.56,0.021206395000333736,3.0,82773000.0,2020-02-02,40.463667,-3.74922,2020-03-14,Full,39715.43906,8.12,98.1
Sweden,149,10110233,25,2021-02-15,608411.0,0.5,0.945,2.22,Europe,1.22,12428.0,69.44,41.0,13.433,133.982,4.79,82.8,0.02042698110323449,3.0,7440000.0,2020-02-01,60.128161,18.643501,,,53208.88436,8.5,
Switzerland,150,8665615,219,2021-02-15,543207.0,,0.955,4.53,Europe,0.91,9776.0,60.19,43.1,12.644,99.739,5.59,83.78,0.017996822574083176,3.0,10362000.0,2020-02-26,46.818188,8.227512,2020-03-18,Full,68060.94105,8.82,
United Kingdom,163,67948282,281,2021-02-15,4059700.0,0.2,0.932,2.54,Europe,0.65,117622.0,86.11,40.8,12.527,122.137,4.28,81.32,0.02897307682833707,3.0,36316000.0,2020-02-01,55.378051,-3.435973,2020-03-23,Full,45973.5735,8.47,
United States,164,331341050,36,2021-02-15,27698190.0,1.2,0.926,2.77,North America,0.74,486745.0,68.06,38.3,9.732,151.089,10.79,78.86,0.017573169943595594,3.0,79745920.0,2020-03-10,37.09024,-95.712891,2020-03-23,Partial,62794.58565,8.46,
