Country,index,Population,Density,Date to reach 1%,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Albania,0,2877239,105,2020-11-18,,,1.1,0.785,2.89,,Europe,3,5340000,2020-03-10,41.153332,20.168331,2020-03-08,Full,13364.1554,7.84,97.6
Andorra,1,77287,164,2020-06-03,,,,0.858,,,Europe,3,3042000,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Argentina,2,45267449,17,2020-09-06,,,0.6,0.825,5,,South America,3,6942000,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,3,2964219,104,2020-07-08,,,1.8,0.755,4.2,94.043,Asia,4,1652000,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Aruba,4,106845,593,2020-08-17,,,,,,,North America,2,,2020-03-13,,,,,39454.62983,,
Austria,5,9015361,109,2020-10-29,2177572,4.134,0.7,0.908,7.37,,Europe,3,30816000,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Azerbaijan,6,10154978,123,2020-11-26,,,,0.757,4.7,83.241,Asia,1,2633000,2020-03-02,40.143105,47.576927,2020-03-02,Full,18044.13678,6.22,99.8
Bahamas,7,393893,39,2020-10-01,,,,0.807,2.9,,North America,2,14000,2020-03-17,25.03428,-77.39628,2020-04-17,Full,32087.72915,7.56,
Bahrain,8,1711057,2239,2020-06-13,410842,12.756,,0.846,2,,Asia,1,12045000,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belarus,9,9448772,47,2020-10-28,2418399,18.798,,0.808,11,,Europe,4,11501600,2020-02-29,53.709807,27.953389,2020-04-07,Full,19994.80408,6.65,99.7
Belgium,10,11598451,383,2020-09-27,3172832,3.925,0.2,0.916,5.64,,Europe,3,9119000,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Belize,11,398845,17,2020-11-07,,,,0.708,1.3,90.083,North America,2,489000,2020-03-24,17.189877,-88.49765,2020-04-16,Full,8648.0888,6.95,82.7
Bolivia,12,11700207,11,2020-09-02,242824,2.726,7.1,0.693,1.1,25.383,South America,1,1142000,2020-03-12,-16.290154,-63.588653,2020-03-12,Full,7873.166243,6.61,95.7
Bosnia and Herzegovina,13,3277152,64,2020-10-17,,,0.2,0.768,3.5,97.164,Europe,4,1053000,2020-03-06,43.915886,17.679076,2020-03-11,Full,14623.67405,7.37,98.5
Brazil,14,212821986,25,2020-07-22,2678927,,3.4,0.759,2.2,,South America,2,6621000,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
Bulgaria,15,6939018,64,2020-11-07,784575,2.43,1.5,0.813,7.454,,Europe,3,9273000,2020-03-09,42.733883,25.48583,2020-03-13,Full,21960.36994,7.79,98.4
Chile,16,19144605,26,2020-06-18,895143,1.693,1.3,0.843,2.11,,South America,3,5723000,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,17,50976248,46,2020-08-21,2340101,,4.5,0.747,1.71,65.386,South America,2,3904000,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Costa Rica,18,5102158,100,2020-09-10,154230,,1.3,0.794,1.13,83.841,North America,2,3017000,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,19,4100719,73,2020-10-30,485281,2.991,0.7,0.831,5.54,,Europe,3,16645000,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Denmark,20,5795780,137,2020-11-13,6215327,50.364,0.2,0.929,2.5,,Europe,3,12749000,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
