Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Albania,0,2877239,105,2020-11-17,29126.0,152209.0,2.4,1.1,0.785,2.89,,Europe,0.81,637.0,0.175,0.021870493716953925,3.0,5340000,2020-03-10,41.153332,20.168331,2020-03-08,Full,13364.1554,7.84,97.6
Andorra,1,77287,164,2020-06-02,844.0,85772.0,6.4,,0.858,,,Europe,0.36,51.0,0.07,0.06042654028436019,3.0,3042000,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Argentina,2,45267449,17,2020-09-04,461882.0,1398352.0,2.0,0.6,0.825,5.0,,South America,0.89,9623.0,0.213,0.02083432565027431,3.0,6942000,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,3,2964219,104,2020-07-08,29820.0,,,1.8,0.755,4.2,94.043,Asia,0.71,521.0,,0.017471495640509725,4.0,1652000,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Austria,4,9015361,109,2020-10-29,93949.0,2177572.0,4.1,0.7,0.908,7.37,,Europe,0.75,1056.0,0.068,0.011240140927524508,3.0,30816000,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Azerbaijan,5,10154978,123,2020-11-25,102396.0,,,,0.757,4.7,83.241,Asia,0.44,1224.0,,0.011953591937185046,1.0,2633000,2020-03-02,40.143105,47.576927,2020-03-02,Full,18044.13678,6.22,99.8
Bahamas,6,393893,39,2020-09-30,4123.0,,,,0.807,2.9,,North America,0.63,96.0,,0.023284016492845016,2.0,14000,2020-03-17,25.03428,-77.39628,2020-04-17,Full,32087.72915,7.56,
Bahrain,7,1711057,2239,2020-06-12,17269.0,403036.0,12.6,,0.846,2.0,,Asia,0.9,36.0,0.014,0.002084660374080723,1.0,12045000,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belarus,8,9448772,47,2020-10-27,94609.0,2418399.0,8.2,,0.808,11.0,,Europe,0.99,965.0,0.036,0.01019987527613652,4.0,11501600,2020-02-29,53.709807,27.953389,2020-04-07,Full,19994.80408,6.65,99.7
Belgium,9,11598451,383,2020-09-29,117115.0,3249691.0,3.4,0.2,0.916,5.64,,Europe,0.66,10001.0,0.05,0.08539469751953209,3.0,9119000,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Belize,10,398845,17,2020-11-06,4016.0,,,,0.708,1.3,90.083,North America,0.85,67.0,,0.016683266932270915,2.0,489000,2020-03-24,17.189877,-88.49765,2020-04-16,Full,8648.0888,6.95,82.7
Bolivia,11,11700207,11,2020-09-01,117267.0,240658.0,2.3,7.1,0.693,1.1,25.383,South America,0.74,5101.0,0.087,0.043499023595725994,1.0,1142000,2020-03-12,-16.290154,-63.588653,2020-03-12,Full,7873.166243,6.61,95.7
Bosnia and Herzegovina,12,3277152,64,2020-10-16,32845.0,272139.0,2.1,0.2,0.768,3.5,97.164,Europe,0.98,980.0,0.063,0.029837113715938498,4.0,1053000,2020-03-06,43.915886,17.679076,2020-03-11,Full,14623.67405,7.37,98.5
Botswana,13,2359585,4,2021-02-08,24435.0,,,,0.717,1.8,,Africa,,179.0,,0.007325557601800696,1.0,14000,2020-03-31,-22.328474,24.684866,2020-04-02,Partial,18615.79334,7.17,88.5
Brazil,14,212821986,25,2020-07-21,2159654.0,2536552.0,,3.4,0.759,2.2,,South America,0.93,81487.0,,0.0377315069913977,2.0,6621000,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
Bulgaria,15,6939018,64,2020-11-06,72184.0,770726.0,2.5,1.5,0.813,7.454,,Europe,0.69,1576.0,0.053,0.02183309320625069,3.0,9273000,2020-03-09,42.733883,25.48583,2020-03-13,Full,21960.36994,7.79,98.4
Canada,16,37799407,4,2020-11-30,381557.0,11475642.0,11.1,0.5,0.926,2.5,,North America,0.92,12239.0,0.05,0.03207646563947195,,21134000,2020-01-27,56.130366,-106.346771,2020-03-16,Partial,48130.25597,8.65,
Chile,17,19144605,26,2020-06-12,193452.0,799776.0,3.2,1.3,0.843,2.11,,South America,0.84,2870.0,0.043,0.014835721522651614,3.0,5723000,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,18,50976248,46,2020-08-20,513719.0,2366615.0,3.2,4.5,0.747,1.71,65.386,South America,0.91,16183.0,0.147,0.03150165752094044,2.0,3904000,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Costa Rica,19,5102158,100,2020-09-09,51224.0,151615.0,,1.3,0.794,1.13,83.841,North America,1.02,543.0,,0.010600499765734812,2.0,3017000,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,20,4100719,73,2020-10-29,43775.0,475994.0,2.8,0.7,0.831,5.54,,Europe,0.57,511.0,0.084,0.011673329525985151,3.0,16645000,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Cyprus,21,1208886,131,2020-12-05,12181.0,751946.0,18.4,,0.869,3.4,,Europe,0.7,57.0,0.004,0.0046794187669321075,3.0,3939000,2020-03-10,35.126413,33.429859,2020-03-25,Full,38513.28457,7.93,99.1
Denmark,22,5795780,137,2020-11-11,58466.0,6069471.0,30.3,0.2,0.929,2.5,,Europe,0.76,753.0,0.004,0.012879280265453426,3.0,12749000,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
Dominican Republic,23,10866667,225,2020-09-21,108783.0,452188.0,3.2,1.6,0.736,1.6,55.182,North America,0.91,2054.0,0.084,0.01888162672476398,2.0,6569000,2020-03-02,18.735693,-70.162651,2020-03-17,Full,17748.18532,,91.8
Ecuador,24,17688599,71,2020-11-12,177513.0,534503.0,3.2,3.6,0.752,1.5,80.635,South America,0.92,12946.0,0.17,0.07292986992501957,2.0,2535000,2020-03-02,-1.831239,-78.183406,2020-03-24,Partial,11734.38739,6.82,94.5
Estonia,25,1326693,31,2020-12-03,13469.0,499703.0,7.2,0.5,0.871,4.69,,Europe,0.99,123.0,0.071,0.009132081075061253,3.0,3234000,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
Eswatini,26,1162233,67,2021-01-11,11711.0,,,,0.588,2.1,24.097,Africa,1.12,298.0,,0.025446161728289642,,782000,2020-03-15,-26.5179414,31.4659,2020-03-27,Partial,10637.84173,6.4,
France,27,65298930,119,2020-10-04,660372.0,,6.3,,0.901,5.98,,Europe,0.76,32228.0,0.027,0.0488027959998304,4.0,89322000,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
Georgia,28,3987805,57,2020-11-01,40727.0,,,4.2,0.78,2.6,,Asia,0.66,335.0,,0.008225501510054755,3.0,4757000,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Germany,29,83830972,240,2020-11-17,843757.0,28111640.0,6.5,,0.936,8.0,,Europe,0.9,13138.0,0.085,0.015570833782712321,3.0,38881000,2020-01-28,51.165691,10.451526,2020-03-20,Full,53074.54012,8.53,
Greece,30,10413936,81,2020-11-29,104227.0,2575388.0,14.0,1.5,0.87,4.21,,Europe,0.8,2321.0,0.018,0.02226870196782024,3.0,30123000,2020-02-27,39.074208,21.824312,2020-03-18,Full,29592.15242,7.33,97.7
Guyana,31,787215,4,2021-02-05,7887.0,,,,0.654,1.6,77.159,South America,,179.0,,0.022695574996830226,2.0,287000,2020-03-13,4.860416,-58.93018,,,8640.73737,6.74,88.5
Honduras,32,9931333,89,2020-11-05,99347.0,,,16.0,0.617,0.7,84.169,North America,1.03,2736.0,,0.027539835123355512,2.0,14000,2020-03-12,15.199999,-86.241905,2020-03-20,Partial,5138.752457,6.81,88.5
Hungary,33,9655983,107,2020-11-06,99625.0,1167411.0,2.8,0.5,0.838,7.02,,Europe,0.67,2250.0,0.075,0.02258469259723965,3.0,17552000,2020-03-05,47.162494,19.503304,2020-03-16,Full,31102.50275,7.65,99.1
