Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Albania,0,2877239,105,2020-11-17,29126.0,152209.0,1.0,1.1,0.795,2.89,,Europe,0.55,637.0,0.0009,0.021870493716953925,3.0,5340000.0,2020-03-10,41.153332,20.168331,2020-03-08,Full,13364.1554,7.84,97.6
Andorra,1,77287,164,2020-06-02,844.0,45862.0,1.1,,0.868,,,Europe,0.27,51.0,0.0064,0.06042654028436019,3.0,3042000.0,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Anguilla,2,15026,167,2021-08-19,154.0,51382.0,6.2,,,,,North America,,1.0,0.011,0.006493506493506494,2.0,,,,,,,,,
Antigua and Barbuda,3,98069,223,2021-03-16,992.0,16700.0,1.6,,0.778,3.8,,North America,0.27,27.0,0.0,0.02721774193548387,,269000.0,2020-03-14,17.060816,-61.796428,,,26868.13352,,
Argentina,4,45267449,17,2020-09-04,461882.0,1679318.0,1.5,0.6,0.845,5.0,,South America,0.05,9623.0,0.018,0.02083432565027431,3.0,6942000.0,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,5,2964219,104,2020-07-08,29820.0,129166.0,2.1,1.8,0.776,4.2,94.043,Asia,-0.02,521.0,0.001,0.017471495640509725,4.0,1652000.0,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Aruba,6,106845,593,2020-08-16,1102.0,365.0,,,,,,North America,,4.0,,0.003629764065335753,2.0,,,,,,,39454.62983,,
Australia,7,25550683,3,2021-12-20,259174.0,51932242.0,3.3,0.5,0.944,3.84,,Oceania,0.69,2154.0,0.015,0.00831101885219968,1.0,9246000.0,2020-01-26,-25.274398,133.775136,2020-03-25,Partial,51663.36509,8.62,
Austria,8,9015361,109,2020-10-29,91951.0,2177572.0,11.2,0.7,0.922,7.37,,Europe,0.56,1353.0,0.0002,0.014714358734543399,3.0,30816000.0,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Azerbaijan,9,10154978,123,2020-11-25,102396.0,3206917.0,2.6,,0.756,4.7,83.241,Asia,0.11,1224.0,0.0,0.011953591937185046,1.0,2633000.0,2020-03-02,40.143105,47.576927,2020-03-02,Full,18044.13678,6.22,99.8
